OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,6,CALIFORNIA,CA,6037,Los Angeles,6037700600,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,6,CALIFORNIA,CA,6037,Los Angeles,6037143200,0.1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,6,CALIFORNIA,CA,6037,Los Angeles,6037271300,0.1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,6,CALIFORNIA,CA,6037,Los Angeles,6037189202,0.1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,6,CALIFORNIA,CA,6037,Los Angeles,6037128802,0.1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,6,CALIFORNIA,CA,6037,Los Angeles,6037262501,0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,6,CALIFORNIA,CA,6037,Los Angeles,6037269000,0.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,6,CALIFORNIA,CA,6037,Los Angeles,6037800506,0.1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,6,CALIFORNIA,CA,6037,Los Angeles,6037262301,0.1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,6,CALIFORNIA,CA,6037,Los Angeles,6037113232,0.1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,6,CALIFORNIA,CA,6037,Los Angeles,6037265520,0.1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,6,CALIFORNIA,CA,6037,Los Angeles,6037269800,0.1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,6,CALIFORNIA,CA,6037,Los Angeles,6037271702,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,6,CALIFORNIA,CA,6037,Los Angeles,6037125502,0.1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,CALIFORNIA,CA,6037,Los Angeles,6037125401,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,6,CALIFORNIA,CA,6037,Los Angeles,6037134302,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,6,CALIFORNIA,CA,6037,Los Angeles,6037275400,0.1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,6,CALIFORNIA,CA,6037,Los Angeles,6037273502,0.1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,6,CALIFORNIA,CA,6037,Los Angeles,6037700200,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,6,CALIFORNIA,CA,6037,Los Angeles,6037700502,0.1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,6,CALIFORNIA,CA,6037,Los Angeles,6037125501,0.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,6,CALIFORNIA,CA,6037,Los Angeles,6037143300,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,6,CALIFORNIA,CA,6037,Los Angeles,6037311600,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,6,CALIFORNIA,CA,6037,Los Angeles,6037267901,0.2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,6,CALIFORNIA,CA,6037,Los Angeles,6037310400,0.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,CALIFORNIA,CA,6037,Los Angeles,6037108202,0.2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,6,CALIFORNIA,CA,6037,Los Angeles,6037700902,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,6,CALIFORNIA,CA,6037,Los Angeles,6037139301,0.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,6,CALIFORNIA,CA,6037,Los Angeles,6037134422,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,6,CALIFORNIA,CA,6037,Los Angeles,6037620001,0.2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,6,CALIFORNIA,CA,6037,Los Angeles,6037211000,0.2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6,CALIFORNIA,CA,6037,Los Angeles,6037115101,0.2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,6,CALIFORNIA,CA,6037,Los Angeles,6037275302,0.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,6,CALIFORNIA,CA,6037,Los Angeles,6037269905,0.2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,CALIFORNIA,CA,6037,Los Angeles,6037113322,0.2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,6,CALIFORNIA,CA,6037,Los Angeles,6037214501,0.2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,6,CALIFORNIA,CA,6037,Los Angeles,6037128910,0.2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,6,CALIFORNIA,CA,6037,Los Angeles,6037143100,0.2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,6,CALIFORNIA,CA,6037,Los Angeles,6037703001,0.2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,6,CALIFORNIA,CA,6037,Los Angeles,6037216100,0.2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,6,CALIFORNIA,CA,6037,Los Angeles,6037141201,0.2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,6,CALIFORNIA,CA,6037,Los Angeles,6037189101,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,6,CALIFORNIA,CA,6037,Los Angeles,6037702400,0.2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,6,CALIFORNIA,CA,6037,Los Angeles,6037271500,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,6,CALIFORNIA,CA,6037,Los Angeles,6037214901,0.2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
